UniqueID;IndicatorID;Name;Measure;MeasureInfo;GeoTypeName;GeoJoinID;GeoPlaceName;TimePeriod;Start_Date;DataValue;Message
131840;386;Ozone (O3);Mean;ppb;Borough;3;Manhattan;2-Year Summer Average 2009-2010;06/01/2009;27.5;
411991;386;Ozone (O3);Mean;ppb;Borough;3;Manhattan;Summer 2016;05/31/2016;30.3;
219971;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2009;06/01/2009;26.27;
219972;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2010;06/01/2010;33.83;
549323;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2017;06/01/2017;30.26;
219973;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2011;06/01/2011;33.19;
219974;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2012;06/01/2012;33.89;
605226;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2018;06/01/2018;30.87;
219975;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2013;06/01/2013;31.13;
219976;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2014;06/01/2014;31.29;
338168;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2015;06/01/2015;32.48;
411990;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;Summer 2016;05/31/2016;33.98;
131839;386;Ozone (O3);Mean;ppb;Borough;2;Brooklyn;2-Year Summer Average 2009-2010;06/01/2009;28;
549322;386;Ozone (O3);Mean;ppb;Borough;1;Bronx;Summer 2017;06/01/2017;28.85;
219967;386;Ozone (O3);Mean;ppb;Borough;1;Bronx;Summer 2011;06/01/2011;32.91;
